Topic,Difficulty,Question,Answer
Wine Basics,Easy,What is wine?,Wine is fermented grape juice
Wine Basics,Easy,What are the two principal types of grapes?,White grapes and black grapes
Wine Basics,Easy,What do black grapes have that contain tannins?,Dark skins that contain tannins
Wine Basics,Easy,What can tannins do to your mouth?,Tannins can make the mouth dry
Wine Basics,Easy,What kind of skin do white grapes have?,White grapes have golden skin
Wine Basics,Easy,Does pulp color differ between grape types?,"No, pulp color is the same no matter what type"
Wine Basics,Easy,What do grapes contain?,"Grapes contain grape juice (water, sugar, & acid)"
Wine Basics,Medium,What is alcoholic fermentation?,Sugar + yeast -> alcohol fermentation -> alcohol + carbon dioxide
Wine Basics,Easy,How is alcohol measured in wine?,Measured by alcohol by volume (ABV)
Growing Grapes,Medium,What produces fruit on grape vines?,Grape vines produce fruit
Growing Grapes,Medium,How long can grape vines live?,Can live for several decades
Growing Grapes,Medium,When do grape vines reach maturity?,Reach maturity after a couple years then produce every year
Growing Grapes,Medium,When do grape vine flowers appear?,Grape vine flowers in spring
Growing Grapes,Medium,What happens to flowers during summer?,Flowers become grapes and ripen during summer and are picked in late summer
Growing Grapes,Medium,What are the two stages of grape development?,Two stages: Flowering & Ripening
Growing Grapes,Hard,What happens after flowering?,After flowering grapes become hard & green
Growing Grapes,Medium,What happens as grapes ripen?,As grapes ripen they swell with water
Growing Grapes,Hard,What happens to sugar levels as grapes ripen?,Sugar levels rise
Growing Grapes,Hard,What happens to acid levels as grapes ripen?,Acid levels fall
Growing Grapes,Hard,What happens to flavors as grapes ripen?,Flavors become riper
Growing Grapes,Medium,What color change occurs in white grape skins?,White grape skins change from green to golden
Growing Grapes,Medium,What color change occurs in black grape skins?,Black grape skins change from green to purple
Climate - Cool,Medium,What do grapes need to grow?,Grapes need right levels of sunlight & heat
Climate - Cool,Medium,What else do grapes need from winter?,Need winter cold enough to let rest
Climate - Cool,Medium,What type of climates are considered cool?,Cool climates
Climate - Cool,Easy,What are examples of cool climate regions?,Germany & Northern France (ex: Bordeaux)
Climate - Cool,Medium,What are temperature characteristics of cool climates?,Average temps are low & sunlight weaker
Climate - Cool,Easy,What grapes are common in cool climates?,Common to grow white grapes
Climate - Warm,Easy,What are examples of warm climate regions?,Ports of Australia & California (ex: Napa Valley)
Climate - Warm,Medium,What are temperature characteristics of warm climates?,Average temps high & sunlight intense
Climate - Warm,Easy,What grapes are common in warm climates?,Common to grow black grapes
Climate - Temperature Effects,Medium,What does cooler temperature mean for sugar and acidity?,"The colder, the lower levels of sugar & the higher levels of acidity"
Climate - Temperature Effects,Medium,What does warmer temperature mean for sugar and acidity?,"The warmer, the higher levels of sugar & lower levels of acidity. Flavors also riper."
Making Wine - White,Medium,How is white wine made?,White wines: Crushing -> Pressing -> Fermentation (Stainless Steel or oak) -> Maturation (Stainless Steel or oak) -> Bottling
Making Wine - Red/Rosé,Medium,How is red/rosé wine made?,Red/Rosé: Crushing -> Fermentation -> Draining
Making Wine - Red/Rosé,Medium,When does fermentation finish for reds?,When fermentation finished for reds
Making Wine - Red/Rosé,Hard,What happens after only a few hours for rosés?,After only a few hours for rosés
Making Wine - Red/Rosé,Medium,What happens for rosé to finish fermentation?,Finishes fermentation w/o skins
Making Wine - Red/Rosé,Medium,What are the steps after draining for red wine?,Pressing → Maturation (Stainless Steel or oak)
Making Wine - Red/Rosé,Medium,Where is rosé rarely stored?,Rosé rarely stored in oak
Making Wine - Red/Rosé,Medium,Where is rosé typically bottled?,Bottling
Wine Types - Still,Medium,What are still wines?,Majority of wines
Wine Types - Still,Medium,What is the ABV range for still wines (majority)?,Between 8-15% ABV (majority 11.5-14% ABV)
Wine Types - Still,Medium,Can still wines be named for the region they are produced?,Can be named for region they are produced
Wine Types - Still,Easy,What are examples of region-named wines?,"Ex: Sancerre/Burgundy (France), Rioja (Spain), & Chianti (Italy)"
Wine Types - Still,Medium,Can wines be named after grape variety used?,Can be named after grape variety used to make them
Wine Types - Still,Medium,What is an example of a grape variety-named wine?,Ex: Pinot Grigio
Wine Types - Sparkling,Medium,What are sparkling wines?,Bubbly/fizzy wines
Wine Types - Sparkling,Easy,What are examples of sparkling wines?,"Ex: Champagne (France), Cava (Spain), & Prosecco (Italy)"
Wine Types - Fortified,Medium,What are fortified wines?,Extra alcohol added
Wine Types - Fortified,Medium,What is the ABV range for fortified wines?,15-22% ABV
Wine Types - Fortified,Easy,What are examples of fortified wines?,Ex: Sherry (Spain) & Port (Portugal)
Wine Styles,Medium,What defines wine styles?,"Combination of color, structural characteristics, aromas, & flavors"
Wine Styles - Color,Medium,What are the color categories for wine?,"White, Red, Rosé"
